"tax_id","org_name","genome_size","gc_content","motility","gram_stain","sporulation","cell_shape","range_salinity","range_tmp","metabolism","optimum_tmp","ref_type","reference"
1509,NA,4141984,27.98,"Yes","Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,29.02,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,28.26,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,27.85,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,28.14,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,27.91,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,27.99,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,28.28,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,28.11,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,28.21,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1509,NA,NA,27.76,NA,NA,NA,NA,NA,NA,"Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1121334,"Clostridium sporosphaeroides DSM 1294",NA,53.5,NA,"Positive","Sporulating","Rod-shaped",NA,NA,"Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121335,"Clostridium stercorarium subsp. stercorarium DSM 8532",2974379,42.24,"Yes","Positive","Yes",NA,NA,"Thermophilic","Anaerobic",65,"doi","doi.org/10.1093/nar/gkw1017"
499177,"Clostridium sticklandii DSM 519",2715461,33.3,"Yes","+","Yes","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
411472,"Clostridium symbiosum ATCC 14940",NA,47.7,"Motile","Positive",NA,"Rod-shaped",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
742740,"Clostridium symbiosum WAL-14163",NA,47.36,"Yes","+","Yes","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
742741,"Clostridium symbiosum WAL-14673",NA,47.59,"Yes","+","Yes","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1195236,"Clostridium termitidis CT1112",NA,41.2,"Yes","Positive","Yes","Bacilli",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1513,NA,NA,28.57,"Yes","Positive","No","Bacilli","NonHalophilic","Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1513,NA,NA,28.4,"Yes","Positive","Yes","Bacilli","NonHalophilic","Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1172202,NA,NA,28.42,"Yes","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1172203,NA,NA,28.46,"Yes","Positive","Yes","Bacilli","NonHalophilic","Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1513,NA,NA,28.46,"Yes","Positive","No","Bacilli","NonHalophilic","Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
212717,"Clostridium tetani E88",2873333,28.6,"Yes","+","No","Rod","Non-halophilic","Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
212717,NA,NA,24.53,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
203119,"Clostridium thermocellum ATCC 27405",3843301,39,"Yes","+","Yes","Rod",NA,"Thermophilic","Anaerobic",60,"doi","doi.org/10.1093/nar/gkw1017"
637887,"Clostridium thermocellum DSM 1313",3561619,39.15,"No","-","Yes","Rod",NA,"Thermophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
572545,"Clostridium thermocellum DSM 2360",NA,39.1,"Yes","+","Yes","Rod",NA,"Thermophilic","Anaerobic",60,"doi","doi.org/10.1093/nar/gkw1017"
492476,"Clostridium thermocellum JW20",NA,39,"Yes","+","Yes","Rod",NA,"Thermophilic","Anaerobic",60,"doi","doi.org/10.1093/nar/gkw1017"
1233099,"Clostridium tunisiense TJ",NA,31.2,"Yes","Positive","No","Bacilli","Unknown","Thermophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1121342,"Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008",NA,30.8,NA,"Positive","Sporulating","Rod-shaped",NA,NA,"Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121342,NA,NA,31.78,NA,"Positive",NA,"Bacilli",NA,NA,"Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1121342,"Clostridium tyrobutyricum DSM 2637 = ATCC 25755",NA,30.8,NA,"Positive",NA,"Rod-shaped",NA,NA,"Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121342,"Clostridium tyrobutyricum DSM 2637 = ATCC 25755",NA,30.8,"Motile","Positive","Sporulating","Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1212547,"Clostridium tyrobutyricum UC7086",NA,30.83,"Yes","Positive","Yes","Bacilli",NA,NA,"Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
865861,"Clostridium ultunense DSM 10521",NA,32.8,"Motile","Positive",NA,"Bacilli",NA,"Thermophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
553385,"Cobetia crustatorum",NA,57.5,NA,NA,NA,NA,"ModerateHalophilic","Mesophilic","Aerobic",25,"doi","doi.org/10.1093/nar/gkw1017"
2737458,NA,NA,62.432037,NA,NA,NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
2737459,NA,NA,62.44667,NA,NA,NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1121346,"Cohnella laeviribosi DSM 21336",NA,57.3,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
979226,"Cohnella panacarvi Gsoil 349",NA,54.5,"Nonmotile","Positive","Sporulating","Rod-shaped",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1590652,NA,NA,50.51,NA,"Positive",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1121347,"Cohnella thermotolerans DSM 17683",NA,58.3,"Nonmotile","Positive","Sporulating","Rod-shaped",NA,"Thermotolerant","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
118168,"Microcoleus chthonoplastes PCC 7420",NA,45.4,"Yes",NA,NA,"Filament",NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
279058,NA,5644972,56.11,NA,"Negative",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
279058,NA,NA,50.54,NA,"Negative",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
279058,NA,4723987,56.78,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",20,"doi","doi.org/10.1093/nar/gkw1017"
279058,NA,4709377,56.78,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",20,"doi","doi.org/10.1093/nar/gkw1017"
1005048,NA,NA,60.6,"No","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
158899,NA,5599729,58.99,NA,NA,NA,NA,NA,"Mesophilic","Microaerophilic",20,"doi","doi.org/10.1093/nar/gkw1017"
279113,NA,5585899,59,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",20,"doi","doi.org/10.1093/nar/gkw1017"
279113,NA,5730025,58.74,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",20,"doi","doi.org/10.1093/nar/gkw1017"
411903,"Collinsella aerofaciens ATCC 25986",NA,60.5,"No","+","No","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
521003,"Collinsella intestinalis DSM 13280",NA,62.5,NA,"+","No","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
742722,NA,NA,60.2,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
445975,"Collinsella stercoris DSM 13279",NA,63.2,"No","+","No","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1265503,"Colwellia piezophila ATCC BAA-637",NA,38.9,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
167879,"Colwellia psychrerythraea 34H",5373180,38,"Yes","-",NA,"Rod",NA,"Psychrophilic","Facultative",8,"doi","doi.org/10.1093/nar/gkw1017"
58049,NA,4337945,39.4,"No",NA,NA,"Bacilli",NA,"Psychrophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1458425,NA,2574013,66.04,"Yes","Negative","No","Vibrios","NonHalophilic","Mesophilic","Microaerophilic",30,"doi","doi.org/10.1093/nar/gkw1017"
1458426,NA,2623236,66.07,"Yes","Negative","No","Vibrios","NonHalophilic","Mesophilic","Microaerophilic",30,"doi","doi.org/10.1093/nar/gkw1017"
1458426,NA,NA,63.07,"Yes","Negative",NA,"Vibrios",NA,"Mesophilic","Microaerophilic",30,"doi","doi.org/10.1093/nar/gkw1017"
1531963,NA,NA,65.88,NA,NA,NA,NA,"ModerateHalophilic","Psychrophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1768803,NA,NA,63.533997,NA,NA,NA,NA,NA,NA,"Unknown",20,"doi","doi.org/10.1093/nar/gkw1017"
1768804,NA,NA,63.230503,NA,NA,NA,NA,NA,NA,"Unknown",20,"doi","doi.org/10.1093/nar/gkw1017"
614083,"Comamonadaceae bacterium ED16",NA,61,"Motile","Negative","Nonsporulating","Rod-shaped","NonHalophilic","Psychrophilic","Aerobic",20,"doi","doi.org/10.1093/nar/gkw1017"
1219031,NA,NA,65.2,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1121348,"Comamonas badia DSM 17552",NA,66,"Motile","Negative",NA,"Rod-shaped",NA,"Mesophilic","Aerobic",28.5,"doi","doi.org/10.1093/nar/gkw1017"
1121349,"Comamonas composti DSM 21721",NA,63.3,"Motile","Negative","Nonsporulating","Rod-shaped",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1223521,NA,NA,68.6,"Yes","Negative","No","Bacilli",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1219032,NA,NA,65.11,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
688245,"Comamonas testosteroni CNB-1",5464824,61.5,"Yes","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
399795,"Comamonas testosteroni KF-1",NA,61.8,"Yes","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
563045,"Comamonas testosteroni S44",NA,61.42,NA,"-",NA,"Rod",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1339241,NA,NA,61.27,NA,NA,NA,NA,"Mesophilic","Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
285,NA,NA,61.13,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1208583,"Commensalibacter sp. MX01",NA,36.7,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1208583,NA,NA,32.23,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1208583,NA,NA,28.76,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1121351,"Conchiformibius kuhniae DSM 17694",NA,56.2,"Motile","Negative",NA,"Filament-shaped",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
469383,"Conexibacter woesei DSM 14684",6359369,72.7,"Yes","+","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1283299,"Conexibacter woesei Iso977N",NA,72.4,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1609966,NA,NA,61.97,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1609966,NA,NA,61.05,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1609966,NA,NA,61.12,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
100884,"Coprobacillus sp. 29_1",NA,31.07,NA,"+","Yes",NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
450746,NA,NA,30.11,"Yes","Positive",NA,NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
100884,"Coprobacillus sp. D6",NA,31.3,"Yes","Positive",NA,NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
556270,"Coprobacillus sp. D7",NA,31.4,NA,"-",NA,NA,NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1349822,"Coprobacter fastidiosus NSB1",NA,38.3,"Nonmotile","Negative","Nonsporulating","Bacilli",NA,NA,"Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
717962,"Coprococcus catus GD/7",3522704,42.43,"No","+","No","Rod",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
470146,"Coprococcus comes ATCC 27758",NA,42.5,"No","+","No","Coccus",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
411474,"Coprococcus eutactus ATCC 27759",NA,43.1,"No","+","No","Coccus",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
751585,"Coprococcus sp. ART55/1",3123007,41.08,"No","+","No","Coccus",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1078091,"Coprococcus sp. HPP0048",NA,41.8,NA,"Positive",NA,NA,NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1078090,"Coprococcus sp. HPP0074",NA,41.2,NA,"Positive",NA,NA,NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
309798,"Coprothermobacter proteolyticus DSM 5265",1424912,44.8,"No","-","No","Rod",NA,"Thermophilic","Anaerobic",63,"doi","doi.org/10.1093/nar/gkw1017"
583355,"Coraliomargarita akajimensis DSM 45221",3750771,53.6,"No","-","No","Sphere",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1531429,NA,1967093,63.56,NA,NA,NA,NA,NA,NA,"Anaerobic",39,"doi","doi.org/10.1093/nar/gkw1017"
700015,"Coriobacterium glomerans PW2",2115681,60,"No","+","No","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
525260,"Corynebacterium accolens ATCC 49725",NA,59.7,"No","+","No","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
649754,"Corynebacterium ammoniagenes DSM 20306",NA,55.55,"No","+","No","Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
649754,NA,2790185,55.54,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
553204,"Corynebacterium amycolatum SK46",NA,58.6,"No","+","No",NA,NA,"Mesophilic","Aerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1431546,NA,2926437,60.92,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1348662,"Corynebacterium argentoratense DSM 44202",2031902,58.9,"Nonmotile","Positive","Nonsporulating","Rod-shaped","Unknown","Mesophilic","Unknown",37,"doi","doi.org/10.1093/nar/gkw1017"
191610,NA,NA,58.18,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
191610,NA,2359448,65.3513,"No","Positive","No","Bacilli","NonHalophilic","Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
548476,"Corynebacterium aurimucosum ATCC 700975",2819226,60.6,"No","+","No","Rod",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
548476,"Corynebacterium aurimucosum ATCC 700975",NA,60.7,"N","+","N","Rod",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
548476,NA,NA,53.32,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121353,NA,NA,54.38,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121353,NA,NA,54.42,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121353,"Corynebacterium callunae DSM 20147",2928683,52.4609,"No","Positive","No","Bacilli","Unknown","Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
161896,NA,2451810,59.41,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121354,"Corynebacterium capitovis DSM 44611",NA,64.5,"Nonmotile","Positive","Nonsporulating",NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1285583,NA,NA,55.08,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1285583,NA,NA,56.77,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1285583,"Corynebacterium casei LMG S-19264",3132213,55.6977,"Nonmotile","Positive","Nonsporulating","Bacilli","Unknown","Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121355,"Corynebacterium caspium DSM 44850",NA,49.7,NA,"Positive","Nonsporulating","Rod-shaped",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121356,"Corynebacterium ciconiae DSM 44920",NA,62.1,"Nonmotile","Positive",NA,"Rod-shaped",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
931089,NA,NA,55.18,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
931089,NA,NA,52.86,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
931089,NA,3033893,55.25,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
698966,"Corynebacterium diphtheriae 241",2426551,53.43,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698962,"Corynebacterium diphtheriae 31A",2535346,53.62,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698973,"Corynebacterium diphtheriae BH8",2485519,53.56,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698963,"Corynebacterium diphtheriae C7 (beta)",2499189,53.5,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698965,"Corynebacterium diphtheriae CDCE 8392",2433326,53.59,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698967,"Corynebacterium diphtheriae HC01",2427149,53.43,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698968,"Corynebacterium diphtheriae HC02",2468612,53.71,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698969,"Corynebacterium diphtheriae HC03",2478364,53.5,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698970,"Corynebacterium diphtheriae HC04",2484332,53.45,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698972,"Corynebacterium diphtheriae INCA 402",2449071,53.65,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
257309,"Corynebacterium diphtheriae NCTC 13129",2488635,53.5,"No","+","No","Rod",NA,"Mesophilic","Aerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
698964,"Corynebacterium diphtheriae PW8",2530683,53.7,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
698971,"Corynebacterium diphtheriae VA01",2395441,53.44,"No","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1450521,NA,NA,53.61,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1450522,NA,NA,53.46,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1450523,NA,NA,53.45,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1450520,NA,NA,53.53,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
558173,NA,2698995,66.78,"No","Positive","No","Bacilli","Unknown","Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
558173,NA,NA,60.3,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
558173,"Corynebacterium doosanense DSM 45436",NA,66.9,"Nonmotile","Positive","Nonsporulating","Rod-shaped",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
61592,NA,NA,48.79,NA,NA,NA,NA,NA,NA,"Unknown",20,"doi","doi.org/10.1093/nar/gkw1017"
196164,NA,NA,56.4,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",37.5,"doi","doi.org/10.1093/nar/gkw1017"
196164,NA,NA,54.42,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",37.5,"doi","doi.org/10.1093/nar/gkw1017"
196164,"Corynebacterium efficiens YS-314",3219505,63,"No","+","No","Rod",NA,"Mesophilic","Facultative",37.5,"doi","doi.org/10.1093/nar/gkw1017"
196164,"Corynebacterium efficiens YS-314",NA,63.2,"No","+","No","Rod",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1451189,"Corynebacterium falsenii DSM 44353",2719616,63.1768,"Nonmotile","Positive","Nonsporulating","Bacilli","Unknown","Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
1451189,NA,NA,61.74,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
28028,NA,NA,59.99552,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
28028,NA,2758653,59.92,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1437875,NA,2604152,71.51,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Unknown",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121360,"Corynebacterium freiburgense DSM 45254",NA,49.8,"Nonmotile","Positive","Nonsporulating","Rod-shaped",NA,NA,"Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
585529,"Corynebacterium genitalium ATCC 33030",NA,62.8,"No","+","No","Rod",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
187491,NA,2518659,62.97,NA,NA,NA,NA,NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
548478,NA,NA,58.38,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
548478,"Corynebacterium glucuronolyticum ATCC 51866",NA,59,"No","+","No","Rod",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
548477,NA,NA,58.65,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
548477,"Corynebacterium glucuronolyticum ATCC 51867",NA,59.2,"No","+","No","Rod",NA,"Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
196627,"Corynebacterium glutamicum ATCC 13032",3282708,53.8,"No","+","No","Rod",NA,"Mesophilic","Facultative",35,"doi","doi.org/10.1093/nar/gkw1017"
196627,"Corynebacterium glutamicum ATCC 13032",3309401,53.8,"No","+","No","Rod",NA,"Mesophilic","Facultative",35,"doi","doi.org/10.1093/nar/gkw1017"
1310161,"Corynebacterium glutamicum MB001",3079253,54.2,"Nonmotile","Positive","Nonsporulating","Rod-shaped","Mesophilic","Mesophilic","Facultative",30,"doi","doi.org/10.1093/nar/gkw1017"
340322,NA,NA,53.93,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Facultative",35,"doi","doi.org/10.1093/nar/gkw1017"
340322,"Corynebacterium glutamicum R",3363299,54.1,"No","+","No","Rod",NA,"Mesophilic","Facultative",35,"doi","doi.org/10.1093/nar/gkw1017"
1075088,"Corynebacterium glutamicum S9114",NA,53.9,NA,"Positive",NA,NA,NA,NA,"aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1232384,NA,3332458,54.25,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1718,NA,3297987,54.29,"No","Positive",NA,"Coccobacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1718,NA,NA,50.99,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",28,"doi","doi.org/10.1093/nar/gkw1017"
1718,NA,3229314,54.26,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",28,"doi","doi.org/10.1093/nar/gkw1017"
1718,NA,3155208,54.17822,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",28,"doi","doi.org/10.1093/nar/gkw1017"
1718,NA,3159203,54.182465,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",28,"doi","doi.org/10.1093/nar/gkw1017"
1404245,NA,NA,60.79,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Aerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
1404245,NA,3568218,64.7345,"No","Positive","No","Bacilli","Mesophilic","Mesophilic","Aerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
